timestamp,P_demanda_total_kW,P_termica_requested_kW,P_bateria_requested_kW,P_H2_requested_kW
2026-09-21 10:41:00,160.09607022301762,28.0,12.0,22.0
2026-09-21 10:42:00,159.56230589874906,28.0,12.0,22.0
2026-09-21 10:43:00,158.98862730622548,28.0,12.0,22.0
2026-09-21 10:44:00,158.3766068585931,28.0,12.0,22.0
2026-09-21 10:45:00,157.72792206135784,28.0,12.0,22.0
2026-09-21 10:46:00,157.04435091445944,28.0,12.0,22.0
2026-09-21 10:47:00,156.32776703889706,28.0,12.0,22.0
2026-09-21 10:48:00,155.58013454126453,28.0,0.0,22.0
2026-09-21 10:49:00,154.8035026302705,28.0,0.0,22.0
2026-09-21 10:50:00,154.0,28.0,0.0,22.0
2026-09-21 10:51:00,153.17182899531184,28.0,0.0,22.0
2026-09-21 10:52:00,152.3212595753644,28.0,0.0,22.0
2026-09-21 10:53:00,151.4506230918154,28.0,0.0,22.0
2026-09-21 10:54:00,150.56230589874906,28.0,0.0,34.0
2026-09-21 10:55:00,149.65874281184537,28.0,0.0,34.0
2026-09-21 10:56:00,148.74241043471966,28.0,0.0,34.0
2026-09-21 10:57:00,147.81582037072417,28.0,0.0,34.0
2026-09-21 10:58:00,146.88151233881777,28.0,0.0,34.0
2026-09-21 10:59:00,145.94204721237298,28.0,0.0,34.0
2026-09-21 11:00:00,145.0,28.0,0.0,34.0
2026-09-21 11:01:00,144.05795278762702,28.0,0.0,34.0
2026-09-21 11:02:00,143.11848766118226,28.0,0.0,34.0
2026-09-21 11:03:00,142.18417962927586,28.0,-10.0,34.0
2026-09-21 11:04:00,141.25758956528034,28.0,-10.0,34.0
2026-09-21 11:05:00,140.34125718815463,28.0,-10.0,34.0
2026-09-21 11:06:00,139.43769410125094,28.0,-10.0,34.0
2026-09-21 11:07:00,138.5493769081846,28.0,-10.0,34.0
2026-09-21 11:08:00,137.6787404246356,28.0,-10.0,34.0
2026-09-21 11:09:00,136.82817100468816,28.0,-10.0,34.0
2026-09-21 11:10:00,136.0,28.0,-10.0,34.0
2026-09-21 11:11:00,135.1964973697295,28.0,-10.0,34.0
2026-09-21 11:12:00,134.41986545873547,28.0,-10.0,34.0
2026-09-21 11:13:00,133.67223296110294,28.0,-10.0,34.0
2026-09-21 11:14:00,132.95564908554056,28.0,-10.0,34.0
2026-09-21 11:15:00,132.27207793864216,28.0,-10.0,34.0
2026-09-21 11:16:00,131.6233931414069,28.0,0.0,34.0
2026-09-21 11:17:00,131.01137269377452,28.0,0.0,34.0
2026-09-21 11:18:00,130.43769410125094,28.0,0.0,34.0
2026-09-21 11:19:00,129.90392977698235,28.0,0.0,34.0
2026-09-21 11:20:00,129.4115427318801,28.0,0.0,34.0
2026-09-21 11:21:00,128.96188256460937,28.0,0.0,34.0
2026-09-21 11:22:00,138.5561817624332,28.0,0.0,34.0
2026-09-21 11:23:00,138.19555232305038,28.0,0.0,34.0
2026-09-21 11:24:00,137.88098270668723,28.0,0.0,34.0
2026-09-21 11:25:00,137.61333512679676,28.0,0.0,34.0
2026-09-21 11:26:00,137.3933431867915,28.0,0.0,34.0
2026-09-21 11:27:00,137.22160986928753,48.0,0.0,34.0
2026-09-21 11:28:00,137.09860588337108,48.0,0.0,34.0
2026-09-21 11:29:00,137.02466837441767,48.0,0.0,34.0
2026-09-21 11:30:00,137.0,48.0,0.0,34.0
2026-09-21 11:31:00,137.02466837441767,48.0,0.0,34.0
2026-09-21 11:32:00,137.09860588337108,48.0,0.0,34.0
2026-09-21 11:33:00,137.22160986928753,48.0,0.0,34.0
2026-09-21 11:34:00,137.3933431867915,48.0,0.0,34.0
2026-09-21 11:35:00,137.61333512679676,48.0,0.0,34.0
2026-09-21 11:36:00,137.88098270668723,48.0,0.0,34.0
2026-09-21 11:37:00,138.19555232305038,48.0,0.0,34.0
2026-09-21 11:38:00,138.55618176243317,48.0,0.0,34.0
2026-09-21 11:39:00,138.96188256460937,48.0,0.0,34.0
2026-09-21 11:40:00,139.4115427318801,48.0,0.0,34.0
2026-09-21 11:41:00,139.90392977698235,48.0,0.0,34.0
2026-09-21 11:42:00,140.43769410125094,48.0,0.0,34.0
2026-09-21 11:43:00,141.01137269377452,48.0,0.0,34.0
2026-09-21 11:44:00,141.6233931414069,48.0,0.0,34.0
2026-09-21 11:45:00,142.27207793864216,48.0,0.0,34.0
2026-09-21 11:46:00,142.95564908554053,48.0,0.0,34.0
2026-09-21 11:47:00,143.6722329611029,48.0,0.0,34.0
2026-09-21 11:48:00,144.41986545873547,48.0,0.0,34.0
2026-09-21 11:49:00,145.1964973697295,48.0,0.0,34.0
2026-09-21 11:50:00,146.0,48.0,0.0,34.0
2026-09-21 11:51:00,146.82817100468816,48.0,0.0,34.0
2026-09-21 11:52:00,147.6787404246356,48.0,0.0,34.0
2026-09-21 11:53:00,148.5493769081846,48.0,0.0,34.0
2026-09-21 11:54:00,149.43769410125094,48.0,0.0,34.0
2026-09-21 11:55:00,150.34125718815463,48.0,0.0,34.0
2026-09-21 11:56:00,151.2575895652803,48.0,0.0,34.0
2026-09-21 11:57:00,152.18417962927583,48.0,0.0,34.0
2026-09-21 11:58:00,153.11848766118223,48.0,0.0,34.0
2026-09-21 11:59:00,154.05795278762702,48.0,0.0,34.0
2026-09-21 12:00:00,155.0,48.0,0.0,34.0
